"SÜRE","TEDARİKÇİ","NO","KARIŞIM ORANI","EN","PARÇA GRAMAJ","PARÇA NEMİ (%)","ISI ÇEKME EN","ISI ÇEKME BOY","GENEL EN","GENEL  BOY","ORTAM SICAKLIK","ORTAM NEM","ZAMAN"
"52 saat sonra ","GÖK","30/1","100%","190.4","163","21","50.1","50.8","50.8","49.8","20.3","52.8","30-11-22/13:00:13 "
"54 saat sonra ","GÖK","30/1","100%","190.7","161","21","51.2","49.9","50.8","49.8","20.0","55.1","30-11-22/15:00:13 "
"56 saat sonra ","GÖK","30/1","100%","190.8","162","22","50.9","49.7","50.8","49.8","20.5","54.8","30-11-22/17:00:13 "
"72 saat sonra ","GÖK","30/1","100%","191.8","163","22","50.5","50.4","50.9","49.8","20.2","54.1","01-12-22/09:00:13 "
"Başlangıç","GÖK","30/1","100%","188.6","168","5","51.1","50.1","50","50","18.8","44.6","05-12-22/09:00:13 "
"2 saat sonra ","GÖK","30/1","100%","188.8","169","10","50.6","50","50.1","49.5","18.9","47.5","05-12-22/11:00:13 "
"4 saat sonra ","GÖK","30/1","100%","188.9","173","10","50.6","50","50.1","49.3","18.9","49.1","05-12-22/13:00:13 "
"6 saat sonra ","GÖK","30/1","100%","188.9","176","11","50.5","50","50.2","49.3","19.2","47.8","05-12-22/15:00:13 "
"8 saat sonra ","GÖK","30/1","100%","188.9","164","11","50.8","50","50.2","49.3","17.0","56.6","05-12-22/17:00:13 "
"24 saat sonra ","GÖK","30/1","100%","189.2","177","11","51.2","50.1","50.3","49.2","19.3","47.4","06-12-22/09:00:13 "
"26 saat sonra ","GÖK","30/1","100%","189.3","168","11","50.7","50.1","50.3","49.2","19.2","47.1","06-12-22/11:00:13 "
"28 saat sonra ","GÖK","30/1","100%","189.3","172","11","50.4","50.1","50.3","49.1","19.0","46.7","06-12-22/13:00:13 "
"30 saat sonra ","GÖK","30/1","100%","189.3","173","11","50.8","50.1","50.3","49.1","19.3","45.4","06-12-22/15:00:13 "
"32 saat sonra ","GÖK","30/1","100%","189.3","172","11","51.2","50","50.3","49.1","19.2","45.9","06-12-22/17:00:13 "
"48 saat sonra ","GÖK","30/1","100%","189.4","171","12","51.1","51.1","50.5","49.3","18.8","39.8","07-12-22/09:00:13 "
"50 saat sonra ","GÖK","30/1","100%","189.4","170","14","50.6","49.9","50.5","49.2","18.7","42.8","07-12-22/11:00:13 "
"52 saat sonra ","GÖK","30/1","100%","189.3","169","14","50.7","50.1","50.5","49.2","18.8","43.9","07-12-22/13:00:13 "
"54 saat sonra ","GÖK","30/1","100%","189.4","174","15","50.5","50","50.5","49.2","18.9","44.3","07-12-22/15:00:13 "
"56 saat sonra ","GÖK","30/1","100%","189.4","169","15","51","50","50.5","49.2","19.1","44.4","07-12-22/17:00:13 "
"72 saat sonra ","GÖK","30/1","100%","189.5","170","19","51","50.1","50.7","49.2","15.3","54.3","08-12-22/09:00:13 "
"Başlangıç","GÖK","30/1","100%","194","155","10","50.1","49.5","50","50","19.9","59.8","12-12-22/09:00:13 "
"2 saat sonra ","GÖK","30/1","100%","194.1","155","12","50.5","50.1","50.5","49.4","20.0","62.0","12-12-22/11:00:13 "
"4 saat sonra ","GÖK","30/1","100%","194.1","155","13","50.3","49.6","50.6","49.3","20.2","61.4","12-12-22/13:00:13 "
"6 saat sonra ","GÖK","30/1","100%","194.2","154","14","50.4","49.4","50.7","49.2","20.8","57.4","12-12-22/15:00:13 "
"8 saat sonra ","GÖK","30/1","100%","194.2","157","14","50.5","49.1","50.8","49.1","20.9","70.0","12-12-22/17:00:13 "
"24 saat sonra ","GÖK","30/1","100%","194.4","158","16","50.2","50","51","48.9","20.9","56.8","13-12-22/09:00:13 "
