"SÜRE","TEDARİKÇİ","NO","KARIŞIM ORANI","EN","PARÇA GRAMAJ","PARÇA NEMİ (%)","ISI ÇEKME EN","ISI ÇEKME BOY","GENEL EN","GENEL  BOY","ORTAM SICAKLIK","ORTAM NEM","ZAMAN"
"72 saat sonra ","GÖK","30/1","95%","184.4","226","","49.6","50","50.2","49.5","20.0","52.0","02-03-23/09:00:03 "
"Başlangıç","GÖK","30/1","95%","184.5","192","","48.5","49.5","50","50","19.1","40.4","12-04-23/09:00:03 "
"2 saat sonra ","GÖK","30/1","95%","184.5","194","","49.2","50","50","50","19.6","41.1","12-04-23/11:00:03 "
"4 saat sonra ","GÖK","30/1","95%","184","197","","49.2","49.1","50.2","49.6","18.6","47.1","12-04-23/13:00:03 "
"6 saat sonra ","GÖK","30/1","95%","185","197","","49.5","49.5","50.2","49.2","20.5","42.8","12-04-23/15:00:03 "
"8 saat sonra ","GÖK","30/1","95%","186","192","","50","49.5","50.5","49.2","20.6","39.3","12-04-23/17:00:03 "
"24 saat sonra ","GÖK","30/1","95%","186","198","","49.6","49.6","50.4","49.4","20.1","38.5","13-04-23/09:00:03 "
"26 saat sonra ","GÖK","30/1","95%","186.5","192","","49.8","49.6","50.5","49.5","20.4","42.0","13-04-23/11:00:03 "
"28 saat sonra ","GÖK","30/1","95%","186","192","","49.1","49.3","50.3","49.3","20.6","39.3","13-04-23/13:00:03 "
"30 saat sonra ","GÖK","30/1","95%","186","195","","49.2","49.1","50.5","49.3","21.0","37.8","13-04-23/15:00:03 "
"32 saat sonra ","GÖK","30/1","95%","186","195","","49.6","49.1","50.5","49.3","21.0","31.8","13-04-23/17:00:03 "
"48 saat sonra ","GÖK","30/1","95%","185.3","197","","49.2","49.4","50","49","20.4","37.3","14-04-23/09:00:03 "
"50 saat sonra ","GÖK","30/1","95%","185.3","197","","49.3","49.2","50","49","21.2","37.5","14-04-23/11:00:03 "
"52 saat sonra ","GÖK","30/1","95%","184.5","196","","49.2","49.3","50","49","21.5","37.6","14-04-23/13:00:03 "
"54 saat sonra ","GÖK","30/1","95%","184.5","195","","49.5","49.6","50","49","22.1","38.6","14-04-23/15:00:03 "
"56 saat sonra ","GÖK","30/1","95%","185","201","","49.3","49.1","49.5","49.7","22.4","42.1","14-04-23/17:00:03 "
"72 saat sonra ","GÖK","30/1","95%","","","","","","","","","",""
"Başlangıç","GÖK","30/1","95%","","","","","","","","25.0","33.6","03-10-22/09:00:18 "
"2 saat sonra ","GÖK","30/1","95%","184.2","181","3","49.8","50","50","50","25.0","30.4","03-10-22/11:00:18 "
"4 saat sonra ","GÖK","30/1","95%","184.6","184","3","49.7","50","50.3","50.3","25.1","25.1","03-10-22/13:00:18 "
"6 saat sonra ","GÖK","30/1","95%","184.9","182","3","49.4","50.1","50.4","50.4","25.9","26.4","03-10-22/15:00:18 "
"8 saat sonra ","GÖK","30/1","95%","185.1","183","3","49.9","50.2","50.5","50.5","26.1","32.4","03-10-22/17:00:18 "
"24 saat sonra ","GÖK","30/1","95%","185.5","181","4","50","49.5","50.1","50","25.9","38.3","04-10-22/09:00:00 "
"26 saat sonra ","GÖK","30/1","95%","185.3","181","4","49.5","50.2","50.1","50","24.0","36.2","04-10-22/11:00:00 "
"28 saat sonra ","GÖK","30/1","95%","185.3","181","4","50","50.2","50.2","50","24.3","33.9","04-10-22/13:00:00 "
"30 saat sonra ","GÖK","30/1","95%","185.2","181","4","49.6","50","50.2","50","25.1","31.0","04-10-22/15:00:00 "
"32 saat sonra ","GÖK","30/1","95%","185.2","180","4","50.3","49.7","50.2","50","24.6","27.0","04-10-22/17:00:00 "
"48 saat sonra ","GÖK","30/1","95%","185.2","184","4","50","50.2","50.2","50.1","22.8","33.8","05-10-22/09:00:00 "
"50 saat sonra ","GÖK","30/1","95%","185.2","185","4","50.5","49.9","50.2","50","23.3","32.2","05-10-22/11:00:00 "
"52 saat sonra ","GÖK","30/1","95%","185.2","183","4","50.1","50.2","50.2","50","23.6","29.3","05-10-22/13:00:00 "
"54 saat sonra ","GÖK","30/1","95%","185.1","184","4","50.1","50","50.1","50","24.1","28.4","05-10-22/15:00:00 "
"56 saat sonra ","GÖK","30/1","95%","185.2","185","4","50.3","50.1","50.2","50","24.6","27.9","05-10-22/17:00:00 "
"72 saat sonra ","GÖK","30/1","95%","185.1","181","4","49.2","50.3","50.1","50","23.8","33.8","06-10-22/09:00:00 "
"Başlangıç","GÖK","30/1","95%","179","180","3","49.6","49.6","50","50","22.9","41.2","10-10-22/09:00:53 "
"2 saat sonra ","GÖK","30/1","95%","179","176","4","49.7","49.8","50.1","49.8","23.3","41.1","10-10-22/11:00:53 "
"4 saat sonra ","GÖK","30/1","95%","179","177","4","49.5","49.5","50.2","49.6","23.6","41.2","10-10-22/13:00:53 "
"6 saat sonra ","GÖK","30/1","95%","179","177","4","50.6","49.2","50.3","49.5","24.3","40.6","10-10-22/15:00:53 "
"8 saat sonra ","GÖK","30/1","95%","179","180","4","49.6","50.1","50.3","49.4","24.6","39.1","10-10-22/17:00:53 "
"24 saat sonra ","GÖK","30/1","95%","179","181","4","50.4","49.5","50.3","49.4","22.8","42.5","11-10-22/09:01:26 "
"26 saat sonra ","GÖK","30/1","95%","179","178","5","50","49.6","50.2","49.2","23.3","44.3","11-10-22/11:01:26 "
"28 saat sonra ","GÖK","30/1","95%","179","177","5","50.2","49.8","50.2","49","23.9","43.1","11-10-22/13:01:26 "
"30 saat sonra ","GÖK","30/1","95%","179","180","5","49.8","50.5","50.2","48.9","24.3","40.5","11-10-22/15:01:26 "
"32 saat sonra ","GÖK","30/1","95%","179","179","5","50.1","49.8","50.2","48.8","24.4","42.6","11-10-22/17:01:26 "
"48 saat sonra ","GÖK","30/1","95%","179","180","5","50","49.5","50.2","48.7","23.8","45.4","12-10-22/09:01:26 "
"50 saat sonra ","GÖK","30/1","95%","179.5","178","5","49.1","50","50.3","48.6","23.0","55.3","12-10-22/11:01:26 "
"52 saat sonra ","GÖK","30/1","95%","179.9","176","5","49.4","50","50.3","48.6","22.7","49.9","12-10-22/13:01:26 "
"54 saat sonra ","GÖK","30/1","95%","180","180","5","49.9","49.1","50.9","48.5","24.1","47.8","12-10-22/15:01:26 "
"56 saat sonra ","GÖK","30/1","95%","180.3","180","5","49.4","49.6","51","48.5","23.3","49.4","12-10-22/17:01:26 "
"72 saat sonra ","GÖK","30/1","95%","180.4","183","5","49.6","49.9","50.9","48.4","23.3","46.5","13-10-22/09:01:26 "
"Başlangıç","GÖK","30/1","95%","184","184","8","49.6","49.9","50","50","21.1","48.8","17-10-22/09:01:26 "
"2 saat sonra ","GÖK","30/1","95%","184.6","183","7","50.3","49.4","49.9","49.6","21.7","46.5","17-10-22/11:01:26 "
"4 saat sonra ","GÖK","30/1","95%","184.9","183","7","50","49.4","49.8","49.5","22.1","44.6","17-10-22/13:01:26 "
"6 saat sonra ","GÖK","30/1","95%","185.1","187","7","49.7","49.4","49.8","49.5","24.5","41.2","17-10-22/15:01:26 "
"8 saat sonra ","GÖK","30/1","95%","185.5","185","7","50","49.7","49.8","49.5","24.7","39.8","17-10-22/17:02:16 "
"24 saat sonra ","GÖK","30/1","95%","184.7","184","9","49.8","49.9","50.3","49.2","22.2","48.8","18-10-22/09:02:16 "
"26 saat sonra ","GÖK","30/1","95%","184.5","185","9","50.1","49.5","50.2","49.2","22.2","48.5","18-10-22/11:02:16 "
"28 saat sonra ","GÖK","30/1","95%","184.3","185","9","50.1","49.5","50.1","49.2","22.8","46.0","18-10-22/13:02:16 "
"30 saat sonra ","GÖK","30/1","95%","184.2","187","9","50.1","49.5","50.1","49.2","23.5","44.8","18-10-22/15:02:16 "
"32 saat sonra ","GÖK","30/1","95%","184.1","188","9","50","49.2","50","49.2","24.0","43.6","18-10-22/17:02:16 "
"48 saat sonra ","GÖK","30/1","95%","183.5","189","11","50.3","49.5","49.7","49.3","22.9","48.0","19-10-22/09:02:16 "
"50 saat sonra ","GÖK","30/1","95%","184","187","11","49.9","49.9","50.4","49.1","23.3","46.2","19-10-22/11:02:16 "
"52 saat sonra ","GÖK","30/1","95%","184.2","188","11","49.9","49.9","50.5","49.2","22.8","50.0","19-10-22/13:02:16 "
"54 saat sonra ","GÖK","30/1","95%","184.7","191","11","49.8","49.3","50.6","49.1","22.9","48.4","19-10-22/15:02:16 "
"56 saat sonra ","GÖK","30/1","95%","184.8","188","11","49.8","49.4","50.8","48.9","23.4","49.2","19-10-22/17:02:16 "
"72 saat sonra ","GÖK","30/1","95%","185.1","187","11","49.9","50","51","49.1","22.3","52.3","20-10-22/09:02:16 "
"Başlangıç","GÖK","30/1","95%","183.2","156","3","49.6","49.2","50","50","21.0","44.3","24-10-22/09:00:10 "
"2 saat sonra ","GÖK","30/1","95%","183.1","169","3","49.9","49.7","50","49.7","21.1","44.7","24-10-22/11:00:10 "
"4 saat sonra ","GÖK","30/1","95%","183","164","3","49.5","49.4","50","49.7","22.0","38.3","24-10-22/13:00:10 "
"6 saat sonra ","GÖK","30/1","95%","183","159","3","49.7","49.4","49.9","49.6","22.9","34.5","24-10-22/15:00:10 "
"8 saat sonra ","GÖK","30/1","95%","182.8","156","3","49.8","49.5","49.9","49.6","23.3","35.4","24-10-22/17:00:10 "
"24 saat sonra ","GÖK","30/1","95%","182.5","156","3","49.6","49.4","49.9","49.5","21.5","38.5","25-10-22/09:00:10 "
"26 saat sonra ","GÖK","30/1","95%","182.1","160","3","49.4","49","49.9","49.5","22.2","35.1","25-10-22/11:00:10 "
"28 saat sonra ","GÖK","30/1","95%","182","167","3","49.5","49.1","49.9","49.4","22.2","34.3","25-10-22/13:00:10 "
"30 saat sonra ","GÖK","30/1","95%","182","160","3","49.4","48.9","49.9","49.3","22.9","28.3","25-10-22/15:00:10 "
"32 saat sonra ","GÖK","30/1","95%","181.9","161","3","49.9","49.2","49.9","49.3","23.4","30.7","25-10-22/17:00:10 "
"48 saat sonra ","GÖK","30/1","95%","181.6","161","3","49.6","49.4","49.9","49.1","21.8","37.3","26-10-22/09:00:10 "
"50 saat sonra ","GÖK","30/1","95%","181.6","163","3","49.6","49.3","49.9","49.1","22.6","38.8","26-10-22/11:00:10 "
"52 saat sonra ","GÖK","30/1","95%","181.6","160","3","49.4","49.2","49.9","49.1","22.6","32.7","26-10-22/13:00:10 "
"54 saat sonra ","GÖK","30/1","95%","181.6","160","3","49.7","49.2","49.9","49.1","23.5","29.4","26-10-22/15:00:10 "
"56 saat sonra ","GÖK","30/1","95%","181.6","160","3","49.6","49","49.9","49.1","23.8","30.2","26-10-22/17:00:10 "
"72 saat sonra ","GÖK","30/1","95%","181.5","156","3","49.5","49.1","49.8","49.1","22.8","44.0","27-10-22/09:00:10 "
"Başlangıç","GÖK","30/1","95%","178","180","3","50.1","49.5","50","50","21.8","33.2","31-10-22/09:00:10 "
"2 saat sonra ","GÖK","30/1","95%","178","181","3","50","50","50","49.9","24.2","31.4","31-10-22/11:02:07 "
"4 saat sonra ","GÖK","30/1","95%","178","184","3","50.3","49.9","50","49.8","22.0","34.3","31-10-22/13:02:07 "
"6 saat sonra ","GÖK","30/1","95%","178","183","2","50.3","49.6","50","49.8","22.1","33.7","31-10-22/15:02:07 "
"8 saat sonra ","GÖK","30/1","95%","178","183","2","50","50.4","50.1","49.8","22.3","39.8","31-10-22/17:02:07 "
"24 saat sonra ","GÖK","30/1","95%","178","183","2","50","50","50.1","49.7","21.7","34.5","01-11-22/09:02:07 "
"26 saat sonra ","GÖK","30/1","95%","178","182","2","50.1","49.8","50.1","49.7","22.1","34.1","01-11-22/11:02:07 "
"28 saat sonra ","GÖK","30/1","95%","178","188","2","50.3","49.9","50.1","49.6","21.4","35.6","01-11-22/13:02:07 "
"30 saat sonra ","GÖK","30/1","95%","178","184","2","50.3","50","50.2","49.6","22.3","33.6","01-11-22/15:02:07 "
"32 saat sonra ","GÖK","30/1","95%","178","183","2","50.5","49.9","50.2","49.6","22.7","35.1","01-11-22/17:02:07 "
"48 saat sonra ","GÖK","30/1","95%","178.1","180","2","50.4","49.5","50.3","49.6","21.3","31.6","02-11-22/09:02:07 "
"50 saat sonra ","GÖK","30/1","95%","178.1","181","2","50.1","49.7","50.3","49.6","20.8","31.8","02-11-22/11:02:07 "
"52 saat sonra ","GÖK","30/1","95%","178.1","185","2","50.1","50.3","50.3","49.6","21.4","31.2","02-11-22/13:02:07 "
"54 saat sonra ","GÖK","30/1","95%","178.1","184","2","50.2","50","50.3","49.6","22.7","25.9","02-11-22/15:02:07 "
"56 saat sonra ","GÖK","30/1","95%","178.1","186","2","50.4","50","50.3","49.6","22.2","29.9","02-11-22/17:02:07 "
"72 saat sonra ","GÖK","30/1","95%","178.1","188","2","50.3","49.3","50.3","49.5","21.8","34.1","03-11-22/09:02:07 "
"Başlangıç","GÖK","30/1","95%","183.8","191","5","49.6","49.3","50","50","21.5","49.8","07-11-22/09:00:03 "
"2 saat sonra ","GÖK","30/1","95%","183.7","193","4","49.5","49.5","50","49.9","22.0","46.8","07-11-22/11:00:03 "
"4 saat sonra ","GÖK","30/1","95%","183.7","194","4","49.8","49.5","50","49.9","21.3","45.6","07-11-22/13:00:03 "
"6 saat sonra ","GÖK","30/1","95%","183.7","193","4","49.7","49.3","50","49.9","21.6","47.2","07-11-22/15:00:03 "
"8 saat sonra ","GÖK","30/1","95%","183.7","191","4","49.6","49.4","50","49.8","22.6","45.6","07-11-22/17:00:03 "
"24 saat sonra ","GÖK","30/1","95%","183.6","193","4","49.5","49.2","50","49.8","21.2","44.3","08-11-22/09:00:03 "
"26 saat sonra ","GÖK","30/1","95%","183.6","190","4","49.9","49.6","50","49.7","20.9","44.0","08-11-22/11:00:03 "
"28 saat sonra ","GÖK","30/1","95%","183.6","191","4","49.8","49.5","50","49.7","20.4","42.0","08-11-22/13:00:03 "
"30 saat sonra ","GÖK","30/1","95%","183.6","191","3","49.7","49.7","50","49.7","21.4","35.5","08-11-22/15:00:03 "
"32 saat sonra ","GÖK","30/1","95%","183.6","193","3","49.6","49.4","50","49.7","21.3","31.6","08-11-22/17:00:03 "
"48 saat sonra ","GÖK","30/1","95%","183.5","190","3","49.2","49.5","50","49.5","21.2","31.4","09-11-22/09:00:03 "
"50 saat sonra ","GÖK","30/1","95%","183.5","192","3","50","49.6","50","49.5","21.0","33.1","09-11-22/11:00:03 "
"52 saat sonra ","GÖK","30/1","95%","183.5","193","3","49.7","49.4","50","49.5","20.8","31.3","09-11-22/13:00:03 "
"54 saat sonra ","GÖK","30/1","95%","183.4","189","3","49.7","49.8","50","49.5","21.7","30.0","09-11-22/15:00:03 "
"56 saat sonra ","GÖK","30/1","95%","183.4","194","3","49.5","49.2","50","49.5","21.8","32.5","09-11-22/17:00:03 "
"72 saat sonra ","GÖK","30/1","95%","183.4","191","3","49.4","49.2","50","49.4","19.9","34.8","10-11-22/09:00:03 "
"Başlangıç","GÖK","30/1","95%","182.4","173","5","49.6","49.4","50","50","14.7","60.3","14-11-22/09:00:51 "
"2 saat sonra ","GÖK","30/1","95%","182.5","173","5","49.8","49.5","50","49.9","21.4","40.8","14-11-22/11:00:51 "
"4 saat sonra ","GÖK","30/1","95%","182.5","173","5","49.9","49.3","50","49.9","20.7","42.2","14-11-22/13:00:51 "
"6 saat sonra ","GÖK","30/1","95%","182.6","177","5","49.3","49.1","50","49.9","22.0","36.8","14-11-22/15:00:51 "
"8 saat sonra ","GÖK","30/1","95%","182.6","174","5","49.8","49.6","50.1","50","20.7","41.3","14-11-22/17:00:51 "
"24 saat sonra ","GÖK","30/1","95%","182.5","180","7","49.7","49.4","50.1","50.2","20.4","33.9","15-11-22/09:00:51 "
"26 saat sonra ","GÖK","30/1","95%","182.8","177","7","49.9","49.6","50.1","50.2","19.9","39.1","15-11-22/11:00:51 "
"28 saat sonra ","GÖK","30/1","95%","182.8","177","7","49.9","49.3","50.1","50.3","19.5","42.3","15-11-22/13:00:51 "
"30 saat sonra ","GÖK","30/1","95%","182.8","179","7","49.8","49.4","50.1","50.3","20.5","39.7","15-11-22/15:00:51 "
"32 saat sonra ","GÖK","30/1","95%","182.9","178","7","49.6","49.4","50.1","50.3","20.5","39.1","15-11-22/17:00:51 "
"48 saat sonra ","GÖK","30/1","95%","182.9","172","7","49.7","49.3","50.2","50.5","20.5","36.0","16-11-22/09:00:51 "
"50 saat sonra ","GÖK","30/1","95%","182.9","177","7","49.5","49.1","50.2","50.5","20.7","38.7","16-11-22/11:00:51 "
"52 saat sonra ","GÖK","30/1","95%","182.9","176","7","49.5","49.5","50.2","50.6","19.3","43.2","16-11-22/13:00:51 "
"54 saat sonra ","GÖK","30/1","95%","182.9","175","7","49.9","49.4","50.2","50.6","20.0","44.2","16-11-22/15:00:51 "
"56 saat sonra ","GÖK","30/1","95%","182.9","178","7","49.7","49.2","50.2","50.7","21.1","40.7","16-11-22/17:00:51 "
"72 saat sonra ","GÖK","30/1","95%","183.1","178","7","49.8","49.5","50.3","50.7","21.4","41.7","17-11-22/09:00:51 "
"Başlangıç","EFE","30/1","95%","184.7","187","3","50","50","50","50","22.2","47.4","22-11-22/09:00:51 "
"2 saat sonra ","EFE","30/1","95%","184.5","186","3","49.8","50.1","50","49.8","22.6","48.9","22-11-22/11:00:51 "
"4 saat sonra ","EFE","30/1","95%","184.5","182","3","50","50.2","50.1","49.7","22.9","46.4","22-11-22/13:00:51 "
"6 saat sonra ","EFE","30/1","95%","184.4","185","4","50","50","50.1","49.6","23.3","44.1","22-11-22/15:00:51 "
"8 saat sonra ","EFE","30/1","95%","184.4","185","4","49.9","50.1","50.1","49.6","23.3","40.0","22-11-22/17:00:51 "
"24 saat sonra ","EFE","30/1","95%","184","188","4","50","50.1","50.2","49.6","22.4","42.0","23-11-22/09:00:51 "
"26 saat sonra ","EFE","30/1","95%","184","186","4","49.7","50.3","50.2","49.4","22.9","46.0","23-11-22/11:00:51 "
"28 saat sonra ","EFE","30/1","95%","183.9","184","4","49.8","50.2","50.2","49.3","21.6","55.5","23-11-22/13:00:51 "
"30 saat sonra ","EFE","30/1","95%","183.9","181","5","50","50.1","50.2","49.3","22.7","50.7","23-11-22/15:00:51 "
"32 saat sonra ","EFE","30/1","95%","183.8","182","5","50","50.2","50.2","49.3","22.9","56.3","23-11-22/17:00:51 "
"48 saat sonra ","EFE","30/1","95%","183.5","180","5","50","50.1","50.4","49.1","22.7","48.8","24-11-22/09:00:51 "
"50 saat sonra ","EFE","30/1","95%","183.5","185","5","49.9","50","50.4","49","22.8","49.4","24-11-22/11:00:51 "
"52 saat sonra ","EFE","30/1","95%","183.5","186","5","50","50","50.4","49","22.8","48.4","24-11-22/13:00:51 "
"54 saat sonra ","EFE","30/1","95%","183.5","187","5","49.8","50.3","50.4","49","22.9","49.3","24-11-22/15:00:51 "
"56 saat sonra ","EFE","30/1","95%","183.5","184","5","50.1","50.1","50.4","49","22.9","49.4","24-11-22/17:00:51 "
"72 saat sonra ","EFE","30/1","95%","183.3","185","5","50","50","50.5","48.9","21.0","48.5","25-11-22/09:00:51 "
"Başlangıç","GÖK","30/1","95%","191","187","13","50.2","49.8","50","50","19.5","45.4","28-11-22/09:00:13 "
"2 saat sonra ","GÖK","30/1","95%","191.5","186","14","50.1","49.8","50.1","49.7","19.6","47.3","28-11-22/11:00:13 "
"4 saat sonra ","GÖK","30/1","95%","191.6","188","14","49.8","49.7","50.1","49.6","22.2","46.5","28-11-22/13:00:13 "
"6 saat sonra ","GÖK","30/1","95%","191.7","186","13","50.1","49.8","50.1","49.5","19.9","52.6","28-11-22/15:00:13 "
"8 saat sonra ","GÖK","30/1","95%","191.7","185","13","50.2","49.7","50.1","49.5","19.9","52.7","28-11-22/17:00:13 "
"24 saat sonra ","GÖK","30/1","95%","192.1","189","13","50.1","49.7","50.3","49.2","19.4","52.7","29-11-22/09:00:13 "
"26 saat sonra ","GÖK","30/1","95%","192.1","189","13","49.7","49.5","50.4","49.2","19.4","55.3","29-11-22/11:00:13 "
"28 saat sonra ","GÖK","30/1","95%","192.4","190","12","49.9","49.6","50.4","49.1","18.8","53.1","29-11-22/13:00:13 "
"30 saat sonra ","GÖK","30/1","95%","192.5","193","12","50.1","49.8","50.4","49.1","19.5","50.3","29-11-22/15:00:13 "
"32 saat sonra ","GÖK","30/1","95%","192.6","192","12","50.3","49.6","50.4","49.1","19.2","52.3","29-11-22/17:00:13 "
"48 saat sonra ","GÖK","30/1","95%","192.8","192","11","49.7","49.4","50.5","48.5","18.6","50.2","30-11-22/09:00:13 "
"50 saat sonra ","GÖK","30/1","95%","192.8","190","10","50.2","49.8","50.5","48.4","19.3","52.3","30-11-22/11:00:13 "
"52 saat sonra ","GÖK","30/1","95%","192.9","190","10","50.1","49.8","50.5","48.4","20.3","52.8","30-11-22/13:00:13 "
"54 saat sonra ","GÖK","30/1","95%","192.9","189","10","50.2","49.8","50.5","48.3","20.0","55.1","30-11-22/15:00:13 "
"56 saat sonra ","GÖK","30/1","95%","192.9","192","10","49.8","49.7","50.5","48.3","20.5","54.8","30-11-22/17:00:13 "
"72 saat sonra ","GÖK","30/1","95%","193.2","192","10","50.2","49.8","50.7","48.2","20.2","54.1","01-12-22/09:00:13 "
"Başlangıç","GÖK","30/1","95%","180","181","3","49.7","49.5","50","50","18.8","44.6","05-12-22/09:00:13 "
"2 saat sonra ","GÖK","30/1","95%","180.1","181","6","49.7","49.8","50.1","49.7","18.9","47.5","05-12-22/11:00:13 "
"4 saat sonra ","GÖK","30/1","95%","180.1","182","7","50","49.6","50.1","49.6","18.9","49.1","05-12-22/13:00:13 "
"6 saat sonra ","GÖK","30/1","95%","180.2","186","7","49.8","49.6","50.1","49.6","19.2","47.8","05-12-22/15:00:13 "
"8 saat sonra ","GÖK","30/1","95%","180.2","184","7","49.7","49.9","49.9","49.5","17.0","56.6","05-12-22/17:00:13 "
"24 saat sonra ","GÖK","30/1","95%","180.2","185","11","49.7","49.8","49.9","49.2","19.3","47.4","06-12-22/09:00:13 "
"26 saat sonra ","GÖK","30/1","95%","180.2","181","11","49.8","49.4","49.9","49.2","19.2","47.1","06-12-22/11:00:13 "
"28 saat sonra ","GÖK","30/1","95%","180.2","185","11","49.5","49.2","49.9","49.2","19.0","46.7","06-12-22/13:00:13 "
"30 saat sonra ","GÖK","30/1","95%","180.2","185","12","49.7","49.6","49.9","49.2","19.3","45.4","06-12-22/15:00:13 "
"32 saat sonra ","GÖK","30/1","95%","180.2","185","12","50","49.6","49.9","49.2","19.2","45.9","06-12-22/17:00:13 "
"48 saat sonra ","GÖK","30/1","95%","180.3","184","14","50","49.5","49.9","49.2","18.8","39.8","07-12-22/09:00:13 "
"50 saat sonra ","GÖK","30/1","95%","180.3","182","14","49.6","49.4","49.9","49.2","18.7","42.8","07-12-22/11:00:13 "
"52 saat sonra ","GÖK","30/1","95%","180.4","183","14","49.8","49.6","49.9","49.2","18.8","43.9","07-12-22/13:00:13 "
"54 saat sonra ","GÖK","30/1","95%","180.4","182","14","49.9","49.5","49.9","49.2","18.9","44.3","07-12-22/15:00:13 "
"56 saat sonra ","GÖK","30/1","95%","180.4","181","14","50","49.4","49.9","49.2","19.1","44.4","07-12-22/17:00:13 "
"72 saat sonra ","GÖK","30/1","95%","180.4","193","15","49.8","49.6","49.9","49.2","15.3","54.3","08-12-22/09:00:13 "
"Başlangıç","GÖK","30/1","95%","184","189","12","49.6","49.4","50","50","19.9","59.8","12-12-22/09:00:13 "
"2 saat sonra ","GÖK","30/1","95%","184.1","188","12","49.9","50","50.1","49.7","20.0","62.0","12-12-22/11:00:13 "
"4 saat sonra ","GÖK","30/1","95%","184.2","190","14","49.9","49.5","50.1","49.6","20.2","61.4","12-12-22/13:00:13 "
"6 saat sonra ","GÖK","30/1","95%","184.2","191","14","49.4","49.5","50.1","49.6","20.8","57.4","12-12-22/15:00:13 "
"8 saat sonra ","GÖK","30/1","95%","184.1","193","14","49.7","49.2","50","49.5","20.9","70.0","12-12-22/17:00:13 "
"24 saat sonra ","GÖK","30/1","95%","183.5","193","15","49.8","49.6","50","49.4","20.9","56.8","13-12-22/09:00:13 "
"26 saat sonra ","GÖK","30/1","95%","183.5","192","15","49.9","49.5","50","49.3","20.9","59.6","13-12-22/11:00:13 "
"28 saat sonra ","GÖK","30/1","95%","183.4","193","15","49.5","49.8","50","49.3","20.9","62.2","13-12-22/13:00:13 "
"30 saat sonra ","GÖK","30/1","95%","183.4","190","15","49.8","50","50","49.2","21.4","62.5","13-12-22/15:00:13 "
"32 saat sonra ","GÖK","30/1","95%","183.4","193","15","49.7","49.4","50","49.2","21.6","63.1","13-12-22/17:00:13 "
"48 saat sonra ","GÖK","30/1","95%","183.3","194","15","49.9","49.5","50","48.9","19.9","50.5","14-12-22/09:00:13 "
"50 saat sonra ","GÖK","30/1","95%","183.3","194","15","49.9","49.6","50","48.9","20.4","48.6","14-12-22/11:00:13 "
"52 saat sonra ","GÖK","30/1","95%","183.2","196","15","49.9","49.5","50","48.9","19.9","51.5","14-12-22/13:00:13 "
"54 saat sonra ","GÖK","30/1","95%","183.2","195","15","49.8","49.5","50","48.9","20.6","52.8","14-12-22/15:00:13 "
"56 saat sonra ","GÖK","30/1","95%","183.2","197","15","49.9","49.6","50","48.9","20.6","55.8","14-12-22/17:00:13 "
"72 saat sonra ","GÖK","30/1","95%","183","198","15","49.4","49.7","50","48.9","20.4","55.7","15-12-22/09:00:13 "
"Başlangıç","GÖK","30/1","95%","185","172","4","49.7","49.5","50","50","20.2","50.6","19-12-22/09:00:10 "
"2 saat sonra ","GÖK","30/1","95%","185.1","175","5","49.9","49.5","50.1","49.5","20.3","45.4","19-12-22/11:00:10 "
"4 saat sonra ","GÖK","30/1","95%","185.1","170","3","49.9","49.5","50.1","49.4","20.0","43.7","19-12-22/13:00:10 "
"6 saat sonra ","GÖK","30/1","95%","185.1","174","3","49.8","49.5","50.1","49.4","20.3","41.3","19-12-22/15:00:10 "
"8 saat sonra ","GÖK","30/1","95%","185.1","177","3","49.6","49.5","50.1","49.4","19.8","40.5","19-12-22/17:00:10 "
"24 saat sonra ","GÖK","30/1","95%","185.4","172","2","49.9","49.4","50.5","49.1","17.9","31.3","20-12-22/09:00:10 "
"26 saat sonra ","GÖK","30/1","95%","185.4","171","2","49.9","49.6","50.5","49","18.5","30.4","20-12-22/11:00:10 "
"28 saat sonra ","GÖK","30/1","95%","185.4","174","2","49.6","49.5","50.5","49","18.3","30.3","20-12-22/13:00:10 "
"30 saat sonra ","GÖK","30/1","95%","185.4","169","2","49.7","49.4","50.5","49","19.0","30.0","20-12-22/15:00:10 "
"32 saat sonra ","GÖK","30/1","95%","185.4","176","2","49.8","49.5","50.5","49","18.8","30.3","20-12-22/17:00:10 "
"48 saat sonra ","GÖK","30/1","95%","185.5","171","2","49.9","49.6","50.5","48.9","18.2","24.4","21-12-22/09:00:10 "
"50 saat sonra ","GÖK","30/1","95%","185.5","176","2","49.7","49.5","50.5","48.9","18.2","24.2","21-12-22/11:00:10 "
"52 saat sonra ","GÖK","30/1","95%","185.5","173","2","49.9","49.5","50.5","48.8","18.0","23.1","21-12-22/13:00:10 "
"54 saat sonra ","GÖK","30/1","95%","185.5","178","2","49.8","49.5","50.5","48.8","19.4","23.9","21-12-22/15:00:10 "
"56 saat sonra ","GÖK","30/1","95%","185.5","179","2","49.7","49.4","50.5","48.8","19.4","25.0","21-12-22/17:00:10 "
"72 saat sonra ","GÖK","30/1","95%","185.5","180","2","49.9","49.6","50.5","48.8","18.6","29.0","22-12-22/09:00:10 "
"Başlangıç","GÖK","30/1","95%","182.1","180","4","49.8","49.3","50","50","17.8","40.6","26-12-22/09:00:10 "
"2 saat sonra ","GÖK","30/1","95%","182.2","180","4","49.7","49.3","50.1","49.5","17.5","39.6","26-12-22/11:00:10 "
